Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SKYPARK RESIDENCES,"1,880,000","1,711.48","1,098",8-Dec-21,17 SEMBAWANG CRESCENT #01-30,Resale,Strata,159,"11,824",-,Executive Condominium,1,99 yrs from 18/03/2013,2016,HDB,757061,27,75,North Region,Sembawang
PROVENCE RESIDENCE,"1,110,000",882.65,"1,258",9-Dec-21,33 CANBERRA CRESCENT #04-22,New Sale,Strata,82,"13,537",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,756930,27,75,North Region,Sembawang
LUSH ACRES,"1,770,000","1,506.96","1,175",9-Dec-21,7 FERNVALE CLOSE #14-16,Resale,Strata,140,"12,643",-,Executive Condominium,1,99 yrs from 13/02/2013,2016,Private,797488,28,79,North East Region,Sengkang
THE TOPIARY,"1,392,000","1,291.68","1,078",9-Dec-21,17 FERNVALE LANE #04-19,Resale,Strata,120,"11,600",-,Executive Condominium,1,99 yrs from 03/07/2012,2016,HDB,797498,28,79,North East Region,Sengkang
TWIN WATERFALLS,"1,090,000","1,001.05","1,089",9-Dec-21,122 PUNGGOL WALK #09-47,Resale,Strata,93,"11,720",-,Executive Condominium,1,99 yrs from 05/10/2011,2015,HDB,828771,19,82,North East Region,Punggol
THE FLORIDA,"1,050,000","1,227.10",856,9-Dec-21,72 HOUGANG AVENUE 7 #05-09,Resale,Strata,114,"9,211",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,Private,538805,19,53,North East Region,Hougang
LUSH ACRES,"1,790,000","1,506.96","1,188",9-Dec-21,7 FERNVALE CLOSE #15-16,Resale,Strata,140,"12,786",-,Executive Condominium,1,99 yrs from 13/02/2013,2016,Private,797488,28,79,North East Region,Sengkang
SOL ACRES,"530,000",495.14,"1,070",9-Dec-21,6 CHOA CHU KANG GROVE #07-15,Resale,Strata,46,"11,522",-,Executive Condominium,1,99 yrs from 02/06/2014,2018,HDB,688240,23,68,West Region,Choa Chu Kang
SEA HORIZON,"1,210,000","1,108.69","1,091",9-Dec-21,5 PASIR RIS RISE #09-10,Resale,Strata,103,"11,748",-,Executive Condominium,1,99 yrs from 25/02/2013,2016,HDB,518082,18,51,East Region,Pasir Ris
THE AMORE,"1,300,000","1,227.10","1,059",9-Dec-21,55A EDGEDALE PLAINS #11-13,Resale,Strata,114,"11,404",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828680,19,82,North East Region,Punggol
THE TAMPINES TRILLIANT,"1,258,000","1,001.05","1,257",9-Dec-21,19 TAMPINES CENTRAL 7 #11-20,Resale,Strata,93,"13,527",-,Executive Condominium,1,99 yrs from 13/07/2011,2015,Private,528773,18,52,East Region,Tampines
THE TAMPINES TRILLIANT,"1,585,000","1,302.44","1,217",9-Dec-21,33 TAMPINES CENTRAL 7 #07-48,Resale,Strata,121,"13,099",-,Executive Condominium,1,99 yrs from 13/07/2011,2015,HDB,528614,18,52,East Region,Tampines
THE FLORAVALE,"975,000","1,248.62",781,10-Dec-21,236 WESTWOOD AVENUE #06-38,Resale,Strata,116,"8,405",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648362,22,64,West Region,Jurong West
1 CANBERRA,"1,098,000","1,044.11","1,052",10-Dec-21,7 CANBERRA DRIVE #12-14,Resale,Strata,97,"11,320",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,HDB,768069,27,76,North Region,Yishun
THE AMORE,"1,280,000","1,227.10","1,043",10-Dec-21,53A EDGEDALE PLAINS #09-05,Resale,Strata,114,"11,228",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828693,19,82,North East Region,Punggol
THE AMORE,"1,310,000","1,227.10","1,068",10-Dec-21,57 EDGEDALE PLAINS #07-17,Resale,Strata,114,"11,491",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828681,19,82,North East Region,Punggol
SIMEI GREEN CONDOMINIUM,"842,000",968.76,869,10-Dec-21,1 SIMEI STREET 4 #02-06,Resale,Strata,90,"9,356",-,Executive Condominium,1,99 yrs from 14/11/1996,1999,HDB,529861,18,52,East Region,Tampines
YEW MEI GREEN,"986,000","1,334.74",739,10-Dec-21,50 CHOA CHU KANG NORTH 6 #02-09,Resale,Strata,124,"7,952",-,Executive Condominium,1,99 yrs from 01/12/1997,2000,HDB,689574,23,68,West Region,Choa Chu Kang
WINDERMERE,"1,218,000","1,431.61",851,10-Dec-21,32 CHOA CHU KANG STREET 64 #18-01,Resale,Strata,133,"9,158",-,Executive Condominium,1,99 yrs from 03/03/1997,1999,HDB,689099,23,68,West Region,Choa Chu Kang
THE AMORE,"1,340,800","1,227.10","1,093",10-Dec-21,53A EDGEDALE PLAINS #03-05,Resale,Strata,114,"11,761",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828693,19,82,North East Region,Punggol
THE AMORE,"1,330,000","1,302.44","1,021",10-Dec-21,57A EDGEDALE PLAINS #02-22,Resale,Strata,121,"10,992",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828682,19,82,North East Region,Punggol
THE TOPIARY,"1,200,000","1,087.16","1,104",10-Dec-21,13 FERNVALE LANE #05-12,Resale,Strata,101,"11,881",-,Executive Condominium,1,99 yrs from 03/07/2012,2016,Private,797496,28,79,North East Region,Sengkang
NORTHOAKS,"888,000","1,248.62",711,10-Dec-21,32 WOODLANDS CRESCENT #14-01,Resale,Strata,116,"7,655",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,738087,25,73,North Region,Woodlands
SEA HORIZON,"1,166,000","1,130.22","1,032",10-Dec-21,15 PASIR RIS RISE #02-30,Resale,Strata,105,"11,105",-,Executive Condominium,1,99 yrs from 25/02/2013,2016,Private,518087,18,51,East Region,Pasir Ris
WOODSVALE,"930,000","1,356.26",686,10-Dec-21,9 WOODLANDS DRIVE 72 #12-23,Resale,Strata,126,"7,381",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,HDB,738093,25,73,North Region,Woodlands
PRIVE,"1,060,000","1,054.87","1,005",10-Dec-21,31 PUNGGOL FIELD #03-04,Resale,Strata,98,"10,816",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828816,19,82,North East Region,Punggol
PRIVE,"1,235,000","1,087.16","1,136",10-Dec-21,33 PUNGGOL FIELD #07-11,Resale,Strata,101,"12,228",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828817,19,82,North East Region,Punggol
1 CANBERRA,"2,340,000","2,712.53",863,10-Dec-21,15 CANBERRA DRIVE #13-30,Resale,Strata,252,"9,286",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,Private,768073,27,76,North Region,Yishun
PARC CENTRAL RESIDENCES,"1,463,000","1,205.57","1,214",11-Dec-21,133 TAMPINES STREET 86 #10-31,New Sale,Strata,112,"13,063",-,Executive Condominium,1,99 yrs from 22/04/2019,Uncompleted,HDB,528448,18,52,East Region,Tampines
PROVENCE RESIDENCE,"1,445,000","1,248.62","1,157",11-Dec-21,23 CANBERRA CRESCENT #02-04,New Sale,Strata,116,"12,457",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,757078,27,75,North Region,Sembawang
PROVENCE RESIDENCE,"1,068,000",925.7,"1,154",11-Dec-21,33 CANBERRA CRESCENT #02-24,New Sale,Strata,86,"12,419",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,756930,27,75,North Region,Sembawang
PARC GREENWICH,"1,577,000","1,205.57","1,308",11-Dec-21,39 FERNVALE LANE #09-19,New Sale,Strata,112,"14,080",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797354,28,79,North East Region,Sengkang
OLA,"1,719,000","1,388.56","1,238",12-Dec-21,74 ANCHORVALE CRESCENT #11-12,New Sale,Strata,129,"13,326",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,Private,544601,19,54,North East Region,Sengkang
PROVENCE RESIDENCE,"1,070,000",882.65,"1,212",12-Dec-21,33 CANBERRA CRESCENT #03-22,New Sale,Strata,82,"13,049",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,756930,27,75,North Region,Sembawang
PARC GREENWICH,"1,350,000","1,001.05","1,349",12-Dec-21,41 FERNVALE LANE #12-22,New Sale,Strata,93,"14,516",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
PARC GREENWICH,"1,221,000","1,001.05","1,220",12-Dec-21,45 FERNVALE LANE #11-30,New Sale,Strata,93,"13,129",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797357,28,79,North East Region,Sengkang
PARC GREENWICH,"1,307,000","1,001.05","1,306",12-Dec-21,45 FERNVALE LANE #02-32,New Sale,Strata,93,"14,054",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797357,28,79,North East Region,Sengkang
SOL ACRES,"538,000",495.14,"1,087",13-Dec-21,6 CHOA CHU KANG GROVE #09-15,Resale,Strata,46,"11,696",-,Executive Condominium,1,99 yrs from 02/06/2014,2018,HDB,688240,23,68,West Region,Choa Chu Kang
THE AMORE,"1,300,000","1,227.10","1,059",13-Dec-21,55A EDGEDALE PLAINS #06-13,Resale,Strata,114,"11,404",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828680,19,82,North East Region,Punggol
THE TOPIARY,"1,350,000","1,323.97","1,020",13-Dec-21,19 FERNVALE LANE #02-23,Resale,Strata,123,"10,976",-,Executive Condominium,1,99 yrs from 03/07/2012,2016,Private,797499,28,79,North East Region,Sengkang
WHITEWATER,"1,050,000","1,140.98",920,13-Dec-21,23 PASIR RIS STREET 72 #11-07,Resale,Strata,106,"9,906",-,Executive Condominium,1,99 yrs from 23/07/2002,2005,HDB,518765,18,51,East Region,Pasir Ris
BLOSSOM RESIDENCES,"1,048,000","1,054.87",993,13-Dec-21,32 SEGAR ROAD #03-24,Resale,Strata,98,"10,694",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677722,23,67,West Region,Bukit Panjang
THE FLORAVALE,"1,260,000","1,808.35",697,13-Dec-21,224 WESTWOOD AVENUE #01-16,Resale,Strata,168,"7,500",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648356,22,64,West Region,Jurong West
PARC GREENWICH,"1,616,000","1,205.57","1,340",13-Dec-21,39 FERNVALE LANE #12-19,New Sale,Strata,112,"14,429",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797354,28,79,North East Region,Sengkang
ESPARINA RESIDENCES,"938,000",828.83,"1,132",13-Dec-21,121 COMPASSVALE BOW #06-24,Resale,Strata,77,"12,182",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544818,19,54,North East Region,Sengkang
AUSTVILLE RESIDENCES,"1,031,000","1,033.34",998,13-Dec-21,11 SENGKANG EAST AVENUE #07-01,Resale,Strata,96,"10,740",-,Executive Condominium,1,99 yrs from 24/08/2010,2014,HDB,544804,19,54,North East Region,Sengkang
SOL ACRES,"905,000",871.88,"1,038",13-Dec-21,10 CHOA CHU KANG GROVE #04-24,Resale,Strata,81,"11,173",-,Executive Condominium,1,99 yrs from 02/06/2014,2018,HDB,688207,23,68,West Region,Choa Chu Kang
SKYPARK RESIDENCES,"1,733,000","1,528.49","1,134",14-Dec-21,7 SEMBAWANG CRESCENT #14-13,Resale,Strata,142,"12,204",-,Executive Condominium,1,99 yrs from 18/03/2013,2016,Private,757096,27,75,North Region,Sembawang
CITYLIFE@TAMPINES,"1,695,000","1,377.79","1,230",14-Dec-21,57 TAMPINES CENTRAL 7 #11-14,Resale,Strata,128,"13,242",-,Executive Condominium,1,99 yrs from 13/08/2012,2016,Private,528593,18,52,East Region,Tampines
PROVENCE RESIDENCE,"1,117,000",882.65,"1,266",14-Dec-21,33 CANBERRA CRESCENT #09-22,New Sale,Strata,82,"13,622",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,756930,27,75,North Region,Sembawang
THE QUINTET,"1,100,000","1,302.44",845,14-Dec-21,36 CHOA CHU KANG STREET 64 #07-04,Resale,Strata,121,"9,091",-,Executive Condominium,1,99 yrs from 22/01/2003,2006,HDB,689101,23,68,West Region,Choa Chu Kang
THE AMORE,"1,450,000","1,302.44","1,113",14-Dec-21,53A EDGEDALE PLAINS #14-08,Resale,Strata,121,"11,983",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828693,19,82,North East Region,Punggol
WATERBAY,"1,118,000","1,097.93","1,018",14-Dec-21,45 EDGEFIELD PLAINS #08-03,Resale,Strata,102,"10,961",-,Executive Condominium,1,99 yrs from 02/07/2012,2016,HDB,828710,19,82,North East Region,Punggol
ECOPOLITAN,"1,420,888","1,216.33","1,168",14-Dec-21,134 PUNGGOL WALK #08-23,Resale,Strata,113,"12,574",-,Executive Condominium,1,99 yrs from 04/12/2012,2016,HDB,828778,19,82,North East Region,Punggol
THE AMORE,"1,100,000",990.29,"1,111",14-Dec-21,57 EDGEDALE PLAINS #13-20,Resale,Strata,92,"11,957",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828681,19,82,North East Region,Punggol
PARC CANBERRA,"1,026,000",947.23,"1,083",15-Dec-21,1 CANBERRA WALK #02-02,New Sale,Strata,88,"11,659",-,Executive Condominium,1,99 yrs from 10/12/2018,Uncompleted,HDB,757063,27,75,North Region,Sembawang
PARC CENTRAL RESIDENCES,"1,418,000","1,205.57","1,176",15-Dec-21,131 TAMPINES STREET 86 #04-27,New Sale,Strata,112,"12,661",-,Executive Condominium,1,99 yrs from 22/04/2019,Uncompleted,HDB,528447,18,52,East Region,Tampines
THE AMORE,"840,000",764.24,"1,099",15-Dec-21,53 EDGEDALE PLAINS #06-04,Resale,Strata,71,"11,831",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828692,19,82,North East Region,Punggol
THE RIVERVALE,"1,168,000","1,367.03",854,15-Dec-21,1 RIVERVALE LINK #06-10,Resale,Strata,127,"9,197",-,Executive Condominium,1,99 yrs from 18/12/1997,2000,HDB,545118,19,54,North East Region,Sengkang
FORESTVILLE,"1,430,000","1,399.32","1,022",15-Dec-21,40 WOODLANDS DRIVE 16 #07-43,Resale,Strata,130,"11,000",-,Executive Condominium,1,99 yrs from 06/08/2012,2016,HDB,737774,25,73,North Region,Woodlands
THE AMORE,"1,030,000",990.29,"1,040",15-Dec-21,55A EDGEDALE PLAINS #12-14,Resale,Strata,92,"11,196",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828680,19,82,North East Region,Punggol
ARC AT TAMPINES,"965,000",958,"1,007",15-Dec-21,21 TAMPINES AVENUE 8 #08-34,Resale,Strata,89,"10,843",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,HDB,529604,18,52,East Region,Tampines
WATERCOLOURS,"1,460,000","1,872.94",780,15-Dec-21,35 PASIR RIS LINK #11-33,Resale,Strata,174,"8,391",-,Executive Condominium,1,99 yrs from 10/01/2012,2014,Private,518155,18,51,East Region,Pasir Ris
PROVENCE RESIDENCE,"1,075,000",925.7,"1,161",16-Dec-21,31 CANBERRA CRESCENT #03-20,New Sale,Strata,86,"12,500",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,756929,27,75,North Region,Sembawang
PARC GREENWICH,"1,380,000","1,001.05","1,379",16-Dec-21,37 FERNVALE LANE #13-14,New Sale,Strata,93,"14,839",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797353,28,79,North East Region,Sengkang
1 CANBERRA,"1,160,000","1,044.11","1,111",16-Dec-21,7 CANBERRA DRIVE #07-14,Resale,Strata,97,"11,959",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,HDB,768069,27,76,North Region,Yishun
THE AMORE,"1,090,000","1,001.05","1,089",16-Dec-21,53 EDGEDALE PLAINS #15-03,Resale,Strata,93,"11,720",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828692,19,82,North East Region,Punggol
SKYPARK RESIDENCES,"1,717,888","1,593.07","1,078",16-Dec-21,11 SEMBAWANG CRESCENT #10-23,Resale,Strata,148,"11,607",-,Executive Condominium,1,99 yrs from 18/03/2013,2016,Private,757058,27,75,North Region,Sembawang
HERON BAY,"1,980,000","2,400.37",825,16-Dec-21,55 UPPER SERANGOON VIEW #16-12,Resale,Strata,223,"8,879",-,Executive Condominium,1,99 yrs from 04/06/2012,2015,Private,534018,19,53,North East Region,Hougang
PRIVE,"1,314,000","1,130.22","1,163",16-Dec-21,37 PUNGGOL FIELD #09-30,Resale,Strata,105,"12,514",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,HDB,828809,19,82,North East Region,Punggol
YEW MEI GREEN,"1,100,000","1,291.68",852,17-Dec-21,52 CHOA CHU KANG NORTH 6 #16-24,Resale,Strata,120,"9,167",-,Executive Condominium,1,99 yrs from 01/12/1997,2000,HDB,689575,23,68,West Region,Choa Chu Kang
SKYPARK RESIDENCES,"1,560,000","1,302.44","1,198",17-Dec-21,1 SEMBAWANG CRESCENT #15-03,Resale,Strata,121,"12,893",-,Executive Condominium,1,99 yrs from 18/03/2013,2016,Private,757093,27,75,North Region,Sembawang
THE FLORAVALE,"1,000,000","1,237.86",808,17-Dec-21,246 WESTWOOD AVENUE #07-58,Resale,Strata,115,"8,696",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,648367,22,64,West Region,Jurong West
THE EDEN AT TAMPINES,"1,230,000","1,463.90",840,17-Dec-21,21 TAMPINES STREET 34 #01-07,Resale,Strata,136,"9,044",-,Executive Condominium,1,99 yrs from 12/09/2000,2003,HDB,529232,18,52,East Region,Tampines
WATERWOODS,"1,700,000","1,636.13","1,039",17-Dec-21,17 PUNGGOL FIELD WALK #15-08,Resale,Strata,152,"11,184",-,Executive Condominium,1,99 yrs from 11/03/2013,2015,Private,828747,19,82,North East Region,Punggol
THE AMORE,"880,000",699.66,"1,258",17-Dec-21,53 EDGEDALE PLAINS #17-04,Resale,Strata,65,"13,538",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,Private,828692,19,82,North East Region,Punggol
LUSH ACRES,"1,490,000","1,237.86","1,204",17-Dec-21,1 FERNVALE CLOSE #17-01,Resale,Strata,115,"12,957",-,Executive Condominium,1,99 yrs from 13/02/2013,2016,HDB,797485,28,79,North East Region,Sengkang
SKYPARK RESIDENCES,"1,820,000","1,593.07","1,142",17-Dec-21,11 SEMBAWANG CRESCENT #09-23,Resale,Strata,148,"12,297",-,Executive Condominium,1,99 yrs from 18/03/2013,2016,Private,757058,27,75,North Region,Sembawang
THE AMORE,"850,000",764.24,"1,112",17-Dec-21,53 EDGEDALE PLAINS #15-04,Resale,Strata,71,"11,972",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828692,19,82,North East Region,Punggol
PARC GREENWICH,"1,314,000","1,001.05","1,313",18-Dec-21,37 FERNVALE LANE #12-13,New Sale,Strata,93,"14,129",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797353,28,79,North East Region,Sengkang
OLA,"1,783,000","1,388.56","1,284",19-Dec-21,74 ANCHORVALE CRESCENT #13-12,New Sale,Strata,129,"13,822",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,HDB,544601,19,54,North East Region,Sengkang
PARC GREENWICH,"1,618,000","1,205.57","1,342",19-Dec-21,33 FERNVALE LANE #11-06,New Sale,Strata,112,"14,446",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797504,28,79,North East Region,Sengkang
THE AMORE,"1,415,000","1,302.44","1,086",20-Dec-21,57A EDGEDALE PLAINS #09-22,Resale,Strata,121,"11,694",-,Executive Condominium,1,99 yrs from 30/10/2013,2016,HDB,828682,19,82,North East Region,Punggol
ECOPOLITAN,"1,345,000","1,216.33","1,106",20-Dec-21,138 PUNGGOL WALK #03-30,Resale,Strata,113,"11,903",-,Executive Condominium,1,99 yrs from 04/12/2012,2016,Private,828700,19,82,North East Region,Punggol
SIGNATURE AT YISHUN,"738,000",764.24,966,20-Dec-21,27 YISHUN STREET 51 #05-13,Resale,Strata,71,"10,394",-,Executive Condominium,1,99 yrs from 25/08/2014,2017,HDB,768088,27,76,North Region,Yishun
PARC CENTRAL RESIDENCES,"1,412,000","1,205.57","1,171",20-Dec-21,119 TAMPINES STREET 86 #03-02,New Sale,Strata,112,"12,607",-,Executive Condominium,1,99 yrs from 22/04/2019,Uncompleted,HDB,528513,18,52,East Region,Tampines
PARC CENTRAL RESIDENCES,"1,461,000","1,205.57","1,212",20-Dec-21,133 TAMPINES STREET 86 #04-31,New Sale,Strata,112,"13,045",-,Executive Condominium,1,99 yrs from 22/04/2019,Uncompleted,HDB,528448,18,52,East Region,Tampines
1 CANBERRA,"1,076,800","1,054.87","1,021",20-Dec-21,11 CANBERRA DRIVE #10-23,Resale,Strata,98,"10,988",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,HDB,768071,27,76,North Region,Yishun
THE TAMPINES TRILLIANT,"1,290,000","1,130.22","1,141",20-Dec-21,27 TAMPINES CENTRAL 7 #07-35,Resale,Strata,105,"12,286",-,Executive Condominium,1,99 yrs from 13/07/2011,2015,Private,528611,18,52,East Region,Tampines
WESTMERE,"1,000,000","1,097.93",911,20-Dec-21,71 JURONG EAST STREET 13 #07-08,Resale,Strata,102,"9,804",-,Executive Condominium,1,99 yrs from 26/06/1996,1999,HDB,609650,22,60,West Region,Jurong East
ECOPOLITAN,"1,270,000","1,140.98","1,113",20-Dec-21,134 PUNGGOL WALK #03-24,Resale,Strata,106,"11,981",-,Executive Condominium,1,99 yrs from 04/12/2012,2016,HDB,828778,19,82,North East Region,Punggol
PARC LIFE,"1,050,000","1,001.05","1,049",21-Dec-21,41 SEMBAWANG CRESCENT #07-41,Resale,Strata,93,"11,290",-,Executive Condominium,1,99 yrs from 13/10/2014,2018,HDB,756988,27,75,North Region,Sembawang
SIMEI GREEN CONDOMINIUM,"858,000",968.76,886,21-Dec-21,15 SIMEI STREET 4 #06-03,Resale,Strata,90,"9,533",-,Executive Condominium,1,99 yrs from 14/11/1996,1999,HDB,529868,18,52,East Region,Tampines
OLA,"1,699,000","1,388.56","1,224",21-Dec-21,72 ANCHORVALE CRESCENT #13-07,New Sale,Strata,129,"13,171",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544600,19,54,North East Region,Sengkang
PROVENCE RESIDENCE,"1,191,000","1,044.11","1,141",21-Dec-21,37 CANBERRA CRESCENT #02-31,New Sale,Strata,97,"12,278",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,756932,27,75,North Region,Sembawang
PARC GREENWICH,"1,307,000","1,001.05","1,306",21-Dec-21,45 FERNVALE LANE #01-32,New Sale,Strata,93,"14,054",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797357,28,79,North East Region,Sengkang
THE TAMPINES TRILLIANT,"1,290,000","1,001.05","1,289",21-Dec-21,15 TAMPINES CENTRAL 7 #08-09,Resale,Strata,93,"13,871",-,Executive Condominium,1,99 yrs from 13/07/2011,2015,Private,528771,18,52,East Region,Tampines
SEA HORIZON,"1,350,000","1,302.44","1,037",21-Dec-21,11 PASIR RIS RISE #05-23,Resale,Strata,121,"11,157",-,Executive Condominium,1,99 yrs from 25/02/2013,2016,HDB,518085,18,51,East Region,Pasir Ris
CITYLIFE@TAMPINES,"1,310,000","1,097.93","1,193",21-Dec-21,53 TAMPINES CENTRAL 7 #10-05,Resale,Strata,102,"12,843",-,Executive Condominium,1,99 yrs from 13/08/2012,2016,HDB,528616,18,52,East Region,Tampines
WATERBAY,"828,000",753.48,"1,099",21-Dec-21,47 EDGEFIELD PLAINS #02-14,Resale,Strata,70,"11,829",-,Executive Condominium,1,99 yrs from 02/07/2012,2016,HDB,828713,19,82,North East Region,Punggol
THE BROWNSTONE,"880,000",850.36,"1,035",21-Dec-21,152 CANBERRA DRIVE #10-10,Resale,Strata,79,"11,139",-,Executive Condominium,1,99 yrs from 28/04/2014,2017,HDB,768080,27,76,North Region,Sembawang
SEA HORIZON,"1,480,000","1,248.62","1,185",21-Dec-21,15 PASIR RIS RISE #07-30,Resale,Strata,116,"12,759",-,Executive Condominium,1,99 yrs from 25/02/2013,2016,Private,518087,18,51,East Region,Pasir Ris
PROVENCE RESIDENCE,"1,248,000","1,044.11","1,195",22-Dec-21,37 CANBERRA CRESCENT #09-31,New Sale,Strata,97,"12,866",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,Private,756932,27,75,North Region,Sembawang
PARC GREENWICH,"1,280,000","1,194.80","1,071",22-Dec-21,31 FERNVALE LANE #14-01,New Sale,Strata,111,"11,532",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,HDB,797503,28,79,North East Region,Sengkang
THE VALES,"915,000",914.94,"1,000",22-Dec-21,73 ANCHORVALE CRESCENT #02-05,Resale,Strata,85,"10,765",-,Executive Condominium,1,99 yrs from 19/05/2014,2017,HDB,544661,19,54,North East Region,Sengkang
WATERBAY,"1,100,000","1,097.93","1,002",22-Dec-21,47 EDGEFIELD PLAINS #02-12,Resale,Strata,102,"10,784",-,Executive Condominium,1,99 yrs from 02/07/2012,2016,HDB,828713,19,82,North East Region,Punggol
PARK GREEN,"942,000","1,205.57",781,22-Dec-21,12 RIVERVALE LINK #10-20,Resale,Strata,112,"8,411",-,Executive Condominium,1,99 yrs from 17/08/2001,2004,Private,545045,19,54,North East Region,Sengkang
THE TAMPINES TRILLIANT,"1,228,888","1,011.82","1,215",22-Dec-21,11 TAMPINES CENTRAL 7 #05-04,Resale,Strata,94,"13,073",-,Executive Condominium,1,99 yrs from 13/07/2011,2015,HDB,528769,18,52,East Region,Tampines
TWIN FOUNTAINS,"1,050,000","1,054.87",995,22-Dec-21,11 WOODLANDS AVENUE 6 #06-01,Resale,Strata,98,"10,714",-,Executive Condominium,1,99 yrs from 19/12/2012,2016,HDB,738992,25,73,North Region,Woodlands
PROVENCE RESIDENCE,"1,096,000",882.65,"1,242",23-Dec-21,25 CANBERRA CRESCENT #02-07,New Sale,Strata,82,"13,366",-,Executive Condominium,1,99 yrs from 08/01/2020,Uncompleted,HDB,757079,27,75,North Region,Sembawang
1 CANBERRA,"1,100,000","1,033.34","1,065",23-Dec-21,9 CANBERRA DRIVE #09-18,Resale,Strata,96,"11,458",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,Private,768070,27,76,North Region,Yishun
THE FLORIDA,"1,080,000","1,506.96",717,23-Dec-21,78 HOUGANG AVENUE 7 #01-27,Resale,Strata,140,"7,714",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,HDB,534260,19,53,North East Region,Hougang
PRIVE,"870,000",775.01,"1,123",23-Dec-21,37 PUNGGOL FIELD #07-39,Resale,Strata,72,"12,083",-,Executive Condominium,1,99 yrs from 14/09/2010,2013,Private,828809,19,82,North East Region,Punggol
ARC AT TAMPINES,"960,000",958,"1,002",23-Dec-21,5 TAMPINES AVENUE 8 #16-08,Resale,Strata,89,"10,787",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,Private,529596,18,52,East Region,Tampines
SEA HORIZON,"1,095,000","1,108.69",988,23-Dec-21,3 PASIR RIS RISE #04-07,Resale,Strata,103,"10,631",-,Executive Condominium,1,99 yrs from 25/02/2013,2016,Private,518081,18,51,East Region,Pasir Ris
