Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
GOLDEN WHEEL INDUSTRIAL BUILDING,"780,000","1,184.04",659,04 Nov 2019,50 KALLANG PUDDING ROAD #08-08,Resale,Strata,110,"7,091",Warehouse,Freehold,13,34,349326,Central Region,Geylang
TAGORE BUILDING,"1,310,000","1,991.34",658,05 Nov 2019,6 TAGORE DRIVE #01-09,Resale,Strata,185,"7,081",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
TRIVEX,"440,000",678.13,649,06 Nov 2019,8 BURN ROAD #15-14,Resale,Strata,63,"6,984",Warehouse,60 yrs from 20/05/2008,13,36,369977,Central Region,Toa Payoh
LIBERTY WAREHOUSE,"755,000","1,420.85",531,22 Nov 2019,220 TAGORE LANE #03-08,Resale,Strata,132,"5,720",Warehouse,Freehold,26,78,787600,North East Region,Ang Mo Kio
UB. ONE,"900,000","1,410.08",638,27 Nov 2019,81 UBI AVENUE 4 #01-05,Resale,Strata,131,"6,870",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
JOO SENG WAREHOUSE,"1,250,000","2,109.74",592,16 Dec 2019,3 UPPER ALJUNIED LINK #04-03,Resale,Strata,196,"6,378",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
ZERVEX,"668,000","1,496.2",446,18 Dec 2019,8 UBI ROAD 2 #03-06,Resale,Strata,139,"4,806",Warehouse,60 yrs from 30/06/2008,14,40,408538,Central Region,Geylang
WESTLINK ONE,"820,000","2,615.65",313,23 Dec 2019,1 TUAS VIEW PLACE #01-15,Resale,Strata,243,"3,374",Warehouse,60 yrs from 20/11/1995,22,63,637433,West Region,Tuas
PAN MALAYAN WAREHOUSE,"2,480,000","8,255.99",300,26 Dec 2019,171 UBI AVENUE 4,Resale,Strata,767,"3,233",Warehouse,60 yrs from 08/11/1982,14,40,408789,Central Region,Geylang
WCEGA TOWER,"550,000",936.47,587,27 Dec 2019,21 BUKIT BATOK CRESCENT #02-71,Resale,Strata,87,"6,322",Warehouse,60 yrs from 13/03/1997,23,65,658065,West Region,Bukit Batok
WCEGA TOWER,"550,000",968.76,568,30 Dec 2019,21 BUKIT BATOK CRESCENT #02-72,Resale,Strata,90,"6,111",Warehouse,60 yrs from 13/03/1997,23,65,658065,West Region,Bukit Batok
VERTEX,"1,200,000","2,368.08",507,08 Jan 2020,33 UBI AVENUE 3 #03-29,Resale,Strata,220,"5,455",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
RUBY WAREHOUSE COMPLEX,"330,000","1,496.2",221,22 Jan 2020,8 KAKI BUKIT ROAD 2 #02-10,Resale,Strata,139,"2,374",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
OXLEY BIZHUB,"568,000","1,022.58",555,11 Feb 2020,65 UBI ROAD 1 #02-88,Resale,Strata,95,"5,979",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
OXLEY BIZHUB,"1,450,000","2,303.5",629,27 Feb 2020,65 UBI ROAD 1 #01-59,Resale,Strata,214,"6,776",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
GUAN HUA WAREHOUSE,"360,000","1,722.24",209,27 Feb 2020,85 GENTING LANE #03-03,Resale,Strata,160,"2,250",Warehouse,60 yrs from 04/12/1981,13,34,349569,Central Region,Geylang
N.A.,"3,650,000","3,601.63","1,013",28 Feb 2020,94C JALAN SENANG,Resale,Land,334.6,"10,909",Warehouse,Freehold,14,41,418470,East Region,Bedok
CITILINK WAREHOUSE COMPLEX,"1,403,058","1,851.41",758,05 Mar 2020,102F PASIR PANJANG ROAD #03-02,Resale,Strata,172,"8,157",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
JOO SENG WAREHOUSE,"2,380,000","3,498.3",680,11 Mar 2020,1 UPPER ALJUNIED LINK #05-01,Resale,Strata,325,"7,323",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
CITY WAREHOUSE,"450,000","2,766.35",163,23 Mar 2020,5 KAKI BUKIT ROAD 2 #04-11,Resale,Strata,257,"1,751",Warehouse,60 yrs from 17/12/1981,14,41,417839,East Region,Bedok
GORDON WAREHOUSE BUILDING,"300,000","1,722.24",174,02 Apr 2020,9 KAKI BUKIT ROAD 2 #04-28,Resale,Strata,160,"1,875",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
WCEGA TOWER,"550,000",968.76,568,30 Apr 2020,21 BUKIT BATOK CRESCENT #02-73,Resale,Strata,90,"6,111",Warehouse,60 yrs from 13/03/1997,23,65,658065,West Region,Bukit Batok
I.BIZ CENTRE,"1,150,000","5,984.78",192,15 Jun 2020,32 OLD TOH TUCK ROAD #05-03,Resale,Strata,556,"2,068",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
WCEGA TOWER,"620,000","1,001.05",619,29 Jun 2020,21 BUKIT BATOK CRESCENT #02-76,Resale,Strata,93,"6,667",Warehouse,60 yrs from 13/03/1997,23,65,658065,West Region,Bukit Batok
TAGORE BUILDING,"1,800,000","4,154.9",433,03 Jul 2020,6 TAGORE DRIVE #02-17,Resale,Strata,386,"4,663",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
RUBY WAREHOUSE COMPLEX,"305,000","1,496.2",204,08 Jul 2020,8 KAKI BUKIT ROAD 2 #02-11,Resale,Strata,139,"2,194",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
CSI DISTRIBUTION CENTRE,"900,000","1,420.85",633,08 Jul 2020,2 KIM CHUAN DRIVE #04-03,Resale,Strata,132,"6,818",Warehouse,Freehold,19,53,537080,North East Region,Hougang
RUBY WAREHOUSE COMPLEX,"303,000","1,496.2",203,08 Jul 2020,8 KAKI BUKIT ROAD 2 #02-28,Resale,Strata,139,"2,180",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
OXLEY BIZHUB,"1,500,000","2,303.5",651,13 Jul 2020,65 UBI ROAD 1 #01-58,Resale,Strata,214,"7,009",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
VERTEX,"1,600,000","3,046.21",525,16 Jul 2020,33 UBI AVENUE 3 #01-14,Resale,Strata,283,"5,654",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
