Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE WESTCOM,"1,200,000","4,251.78",282,11 Jan 2022,1 TUAS SOUTH AVENUE 6 #01-15,Resale,Strata,395,"3,038",Warehouse,60 yrs from 09/07/1996,22,63,637021,West Region,Tuas
OXLEY BIZHUB,"700,000","1,140.98",614,11 Jan 2022,61 UBI ROAD 1 #03-19,Resale,Strata,106,"6,604",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
CITILINK WAREHOUSE COMPLEX,"1,550,000","1,614.6",960,13 Jan 2022,102F PASIR PANJANG ROAD #07-08,Resale,Strata,150,"10,333",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
CARROS CENTRE,"3,661,830","4,208.72",870,14 Jan 2022,60 JALAN LAM HUAT #03-14,Resale,Strata,391,"9,365",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
MIDVIEW BUILDING,"890,000","1,808.35",492,21 Jan 2022,50 BUKIT BATOK STREET 23 #01-19,Resale,Strata,168,"5,298",Warehouse,60 yrs from 13/03/1997,23,65,659578,West Region,Bukit Batok
MIDVIEW BUILDING,"1,300,000","2,906.28",447,11 Feb 2022,50 BUKIT BATOK STREET 23 #01-14,Resale,Strata,270,"4,815",Warehouse,60 yrs from 13/03/1997,23,65,659578,West Region,Bukit Batok
AMA BUILDING,"3,468,000","5,554.22",624,11 Feb 2022,50 KALLANG PUDDING ROAD #01-05,Resale,Strata,516,"6,721",Warehouse,Freehold,13,34,349326,Central Region,Geylang
LINK@AMK,"1,428,000","2,152.8",663,14 Feb 2022,3 ANG MO KIO STREET 62 #01-14,Resale,Strata,200,"7,140",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
NOBLE LOGISTICS,"2,350,000","3,638.23",646,25 Feb 2022,49 TANNERY LANE #06-07,Resale,Strata,338,"6,953",Warehouse,Freehold,13,34,347796,Central Region,Geylang
TONG XING COMPLEX,"1,380,000","6,716.74",205,03 Mar 2022,119 UBI AVENUE 4,Resale,Strata,624,"2,212",Warehouse,60 yrs from 19/10/1982,14,40,408765,Central Region,Geylang
CITY WAREHOUSE,"738,000","4,154.9",178,08 Mar 2022,5 KAKI BUKIT ROAD 2 #03-13,Resale,Strata,386,"1,912",Warehouse,60 yrs from 17/12/1981,14,41,417839,East Region,Bedok
I.BIZ CENTRE,"1,730,000","8,406.68",206,16 Mar 2022,32 OLD TOH TUCK ROAD #03-16,Resale,Strata,781,"2,215",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
LIBERTY WAREHOUSE,"630,000",882.65,714,18 Mar 2022,220 TAGORE LANE #01-01,Resale,Strata,82,"7,683",Warehouse,Freehold,26,78,787600,North East Region,Ang Mo Kio
PAN MALAYAN WAREHOUSE,"2,460,000","8,255.99",298,24 Mar 2022,167 UBI AVENUE 4,Resale,Strata,767,"3,207",Warehouse,60 yrs from 08/11/1982,14,40,408787,Central Region,Geylang
SINDO INDUSTRIAL ESTATE,"16,000,000","16,522.74",968,29 Mar 2022,93 TAGORE LANE,Resale,Land,"1,535","10,423",Warehouse,Freehold,26,78,787535,North East Region,Ang Mo Kio
WCEGA PLAZA,"1,230,000","2,777.11",443,30 Mar 2022,1 BUKIT BATOK CRESCENT #02-61,Resale,Strata,258,"4,767",Warehouse,60 yrs from 13/03/1997,23,65,658064,West Region,Bukit Batok
