Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
FORTUNE CENTRE,"1,065,000",559.73,"1,903",15 Mar 2018,190 MIDDLE ROAD #03-01,Resale,Strata,52,"20,481",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
THE ADELPHI,"1,677,171",667.37,"2,513",19 Mar 2018,1 COLEMAN STREET #05-14A,Resale,Strata,62,"27,051",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
SUNTEC CITY,"13,000,000","4,219.49","3,081",19 Mar 2018,8 TEMASEK BOULEVARD #29-02,Resale,Strata,392,"33,163",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
SHENTON HOUSE,"850,000",441.32,"1,926",20 Mar 2018,3 SHENTON WAY #20-05,Resale,Strata,41,"20,732",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
TELOK BLANGAH HOUSE,"414,750",236.81,"1,751",20 Mar 2018,52 TELOK BLANGAH ROAD #02-05,Resale,Strata,22,"18,852",Office,Freehold,04,09,098829,Central Region,Bukit Merah
SOHO LIFE,"488,000",344.45,"1,417",21 Mar 2018,216 JOO CHIAT ROAD #02-08,Resale,Strata,32,"15,250",Office,Freehold,15,42,427483,Central Region,Geylang
INTERNATIONAL PLAZA,"1,728,000",968.76,"1,784",23 Mar 2018,10 ANSON ROAD #19-08A,Resale,Strata,90,"19,200",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE SUNFLOWER,"1,250,000","1,786.82",700,28 Mar 2018,510 GEYLANG ROAD #02-06,Resale,Strata,166,"7,530",Office,Freehold,14,38,389466,Central Region,Geylang
WOODS SQUARE,"1,024,621",559.73,"1,831",28 Mar 2018,12 WOODLANDS SQUARE #03-80,New Sale,Strata,52,"19,704",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
JALAN BESAR PLAZA,"680,000",333.68,"2,038",29 Mar 2018,101 KITCHENER ROAD #03-35,Resale,Strata,31,"21,935",Office,Freehold,08,20,208511,Central Region,Kallang
PAYA LEBAR SQUARE,"928,000",484.38,"1,916",29 Mar 2018,60 PAYA LEBAR ROAD #07-04,Resale,Strata,45,"20,622",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
TEXTILE CENTRE,"785,000",893.41,879,02 Apr 2018,200 JALAN SULTAN #13-04,Resale,Strata,83,"9,458",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
OXLEY TOWER,"3,100,000","1,162.51","2,667",02 Apr 2018,138 ROBINSON ROAD #23-04,Resale,Strata,108,"28,704",Office,Freehold,01,06,068906,Central Region,Downtown Core
SBF CENTER,"1,867,600",667.37,"2,798",02 Apr 2018,160 ROBINSON ROAD #16-10,Resale,Strata,62,"30,123",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
HIGH STREET PLAZA,"756,600",387.5,"1,952",03 Apr 2018,77 HIGH STREET #05-13,Resale,Strata,36,"21,017",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
SBF CENTER,"1,730,000",592.02,"2,922",03 Apr 2018,160 ROBINSON ROAD #19-08,Resale,Strata,55,"31,455",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
CHINATOWN POINT,"1,980,000","1,054.87","1,877",03 Apr 2018,133 NEW BRIDGE ROAD #12-08,Resale,Strata,98,"20,204",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
PEOPLE'S PARK CENTRE,"753,610",527.44,"1,429",04 Apr 2018,101A UPPER CROSS STREET #12-23,Resale,Strata,49,"15,380",Office,99 yrs from 02/06/1970,01,05,058358,Central Region,Outram
VISION EXCHANGE,"1,800,000",764.24,"2,355",04 Apr 2018,2 VENTURE DRIVE #14-18,Resale,Strata,71,"25,352",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
BUKIT TIMAH SHOPPING CENTRE,"1,290,000",344.45,"3,745",05 Apr 2018,170 UPPER BUKIT TIMAH ROAD #03-09,Resale,Strata,32,"40,313",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
THE ADELPHI,"1,470,000",548.96,"2,678",05 Apr 2018,1 COLEMAN STREET #05-13A,Resale,Strata,51,"28,824",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,767,150",990.29,"1,784",05 Apr 2018,10 ANSON ROAD #17-14,Resale,Strata,92,"19,208",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
ICON@CHANGI,"620,000",409.03,"1,516",06 Apr 2018,228 CHANGI ROAD #05-09,Resale,Strata,38,"16,316",Office,Freehold,14,41,419741,Central Region,Geylang
HIGH STREET CENTRE,"1,650,000","1,001.05","1,648",09 Apr 2018,1 NORTH BRIDGE ROAD #14-06,Resale,Strata,93,"17,742",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
PEK CHUAN BUILDING,"1,250,000","1,323.97",944,09 Apr 2018,116 LAVENDER STREET #03-07,Resale,Strata,123,"10,163",Office,99 yrs from 02/05/1978,12,33,338730,Central Region,Kallang
GOLDEN MILE COMPLEX,"350,000",226.04,"1,548",10 Apr 2018,5001 BEACH ROAD #08-32,Resale,Strata,21,"16,667",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
INTERNATIONAL PLAZA,"4,405,100","2,841.7","1,550",10 Apr 2018,10 ANSON ROAD #28-16,Resale,Strata,264,"16,686",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
N.A.,"520,000",376.74,"1,380",10 Apr 2018,1 NORTH BRIDGE ROAD #B1-22,Resale,Strata,35,"14,857",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
PENINSULA PLAZA,"627,500",624.31,"1,005",10 Apr 2018,"111 NORTH BRIDGE ROAD #08-05,06",Resale,Strata,58,"10,819",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
GOLDEN MILE COMPLEX,"648,000",441.32,"1,468",10 Apr 2018,5001 BEACH ROAD #08-31,Resale,Strata,41,"15,805",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
PEACE CENTRE/MANSIONS,"2,900,000","2,830.93","1,024",12 Apr 2018,1 SOPHIA ROAD #04-01,Resale,Strata,263,"11,027",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
THE CENTRAL,"1,608,000",645.84,"2,490",12 Apr 2018,8 EU TONG SEN STREET #17-83,Resale,Strata,60,"26,800",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SAMSUNG HUB,"46,618,600","13,132.08","3,550",13 Apr 2018,"3 CHURCH STREET #20-01,02,03,06 ETC",Resale,Strata,"1,220","38,212",Office,999 yrs from 25/01/1827,01,04,049483,Central Region,Downtown Core
GOLDEN MILE TOWER,"690,000",484.38,"1,425",16 Apr 2018,6001 BEACH ROAD #02-33,Resale,Strata,45,"15,333",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
ORCHARD TOWERS,"1,450,000",764.24,"1,897",17 Apr 2018,400 ORCHARD ROAD #05-12,Resale,Strata,71,"20,423",Office,Freehold,09,23,238875,Central Region,Orchard
KATONG SHOPPING CENTRE,"1,630,000",322.92,"5,048",18 Apr 2018,865 MOUNTBATTEN ROAD #01-67,Resale,Strata,30,"54,333",Office,Freehold,15,43,437844,Central Region,Marine Parade
VISION EXCHANGE,"1,942,000",839.59,"2,313",18 Apr 2018,2 VENTURE DRIVE #11-16,Resale,Strata,78,"24,897",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
VISION EXCHANGE,"1,785,000",764.24,"2,336",18 Apr 2018,2 VENTURE DRIVE #11-17,Resale,Strata,71,"25,141",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
ORCHARD TOWERS,"1,000,000",505.91,"1,977",18 Apr 2018,400 ORCHARD ROAD #06-15,Resale,Strata,47,"21,277",Office,Freehold,09,23,238875,Central Region,Orchard
VISION EXCHANGE,"3,472,000","1,689.95","2,055",18 Apr 2018,2 VENTURE DRIVE #11-15,Resale,Strata,157,"22,115",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
VISION EXCHANGE,"1,785,000",764.24,"2,336",18 Apr 2018,2 VENTURE DRIVE #11-18,Resale,Strata,71,"25,141",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
